OBJECT_ID,RA,DEC,TESS_mag_0,TESS_mag_err_0,DATE-OBS_TESS_mag_0
239111515247761664,47.18209261264198,40.913437464877134,6.8922126,0.0040944819,2019-11-07T23:06:44.290
239108392807841920,47.162803012360044,40.86754476154535,3.6706127,0.00029384587,2019-11-07T23:06:44.290
239109801556082560,46.97562528452675,40.797958189636255,11.543174,0.28927377,2019-11-07T23:06:44.290
239206661658843904,47.1691071909411,41.00908613196153,10.36818,0.098090501,2019-11-07T23:06:44.290
239111549607500160,47.172325781914125,40.91360868903101,4.5407638,0.00055473018,2019-11-07T23:06:44.290
239108358448103680,47.181322548526104,40.861910550720424,4.0027704,0.00037108575,2019-11-07T23:06:44.290
239106361286965888,47.10583135535647,40.811533206886004,4.5028988,0.00053875541,2019-11-07T23:06:44.290
239110042074249088,46.94617893893008,40.8121131623277,9.0415124,0.028980013,2019-11-07T23:06:44.290
239110248232679168,47.01749351870927,40.82760563586326,6.7589225,0.0036335674,2019-11-07T23:06:44.290
239108152289673856,47.204932792964456,40.85259026276099,8.0654341,0.011857705,2019-11-07T23:06:44.290
239111549607500672,47.16175156576536,40.91586524457765,3.5763341,0.00027559756,2019-11-07T23:06:44.290
239110694910313728,47.03000654460428,40.899915864523216,3.6748576,0.00029470188,2019-11-07T23:06:44.290
239111175946651264,47.0939855493503,40.87905404257362,4.6995779,0.0006279497,2019-11-07T23:06:44.290
239110316952155264,47.014419730915705,40.83552682089531,5.8058466,0.0015704127,2019-11-07T23:06:44.290
239109453663418624,47.05458843549658,40.8137212191609,4.7009049,0.0006286065,2019-11-07T23:06:44.290
239110282592417152,47.03292166839885,40.834866570781905,5.6089959,0.0013265968,2019-11-07T23:06:44.290
239107598237547904,47.15330422428859,40.81468059250584,5.4866659,0.0011957888,2019-11-07T23:06:44.290
239110969788221568,47.134724617526956,40.865465652817505,6.0809034,0.0019939496,2019-11-07T23:06:44.290
239111515247762432,47.190471274767475,40.915905716841856,9.69307,0.052722242,2019-11-07T23:06:44.290
239108014850723456,47.148994264318006,40.847320694906905,7.5914578,0.0077009057,2019-11-07T23:06:44.290
239108014850723328,47.15720689588339,40.84886798907962,4.8035444,0.00068185797,2019-11-07T23:06:44.290
239110935428483712,47.12811426440523,40.86194235422642,5.3321899,0.0010501916,2019-11-07T23:06:44.290
239111175946652160,47.08384588092463,40.87558681986067,4.5082408,0.00054097659,2019-11-07T23:06:44.290
239108392807843840,47.165442030534926,40.85645477147664,4.0300303,0.00037845667,2019-11-07T23:06:44.290
239109870275558912,47.01334356755405,40.81312122873327,4.4064283,0.00050040897,2019-11-07T23:06:44.290
239111897501158656,47.0637667257825,40.877709304177934,4.4127394,0.00050281835,2019-11-07T23:06:44.290
239202534194048512,47.235179393456185,40.94588133394394,15.168443,8.1519315,2019-11-07T23:06:44.290
239109904635296896,46.99413232704991,40.81355230970716,3.7050351,0.00030087615,2019-11-07T23:06:44.290
239206730378004480,47.136885885384494,41.005885592121615,3.8710968,0.00033782367,2019-11-07T23:06:44.290
239110282593463296,47.03673259505925,40.835416252656714,5.6089959,0.0013265968,2019-11-07T23:06:44.290
239111897501159296,47.06669655554808,40.87096057594776,4.5174332,0.00054482354,2019-11-07T23:06:44.290
